	Kelley89	Min	Modified						
									
h (km)	T (k)	Mav	No_n (cm^-3)						
100	208	27.8	6.00E+11						
120	340	26.1	4.50E+11						
140	500	24.3	6.60E+10						
160	628	22.9	2.15E+10						
180	732	21.5	9.10E+09						
200	807	20.5	4.50E+09						
220	865	19.5	2.35E+09						
240	906	18.9	1.42E+09						
260	937	18.3	8.90E+08						
280	959	17.9	5.80E+08						
300	973	17.5	3.80E+08						
320	984	17.2	2.60E+08						
340	991	16.9	1.70E+08						
360	996	16.7	1.20E+08
380	998	16.5	8.30E+07
400	1000	16.3	6.00E+07
450	1000	16.3	2.60E+07
500	1000	15.9	1.20E+07
600	1000	15.6	2.45E+06
700	1000	14.7	5.80E+05
800	1000	10.2	1.74E+05
900	1000	5.1	9.10E+04
1000	1000	2.3	7.10E+04
1200	1000	1.3	5.30E+04
1400	1000	1.0	4.50E+04
1600	1000	1.0	3.70E+04
1800	1000	1.0	3.10E+04
2000	1000	1.0	2.70E+04
2500	1000	1.0	2.00E+04
